Item number,Name,Brand,Modul,Cost Value,november,december,januar,februar,marts,april,maj,juni,juli,august,september,oktober,Total
47169,Funko! POP VINYL Ninja Ninja,Funko!,SalgsOrdre DK,27.32639,0,78,0.0,0.0,0,0.0,0,0.0,0,0,0,0,78.0
47169,Funko! POP VINYL Ninja Ninja,Funko!,Stock,27.32639,72,-6,-6.0,-6.0,-6,-6.0,-6,-6.0,-6,-6,-6,-6,-6.0
47257,Funko! POP VINYL Liverpool Sadio Mané,Funko!,Stock,27.32667,12,12,12.0,12.0,12,12.0,12,12.0,12,12,12,12,12.0
47373,Funko! POP VINYL WW 1984 WW Flying (MT),Funko!,SalgsOrdre SE,27.32648,108,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,108.0
47510,Funko! POP VINYL Cybrpnk 2077-V-Female,Funko!,Købsordre,27.32644,252,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,252.0
47510,Funko! POP VINYL Cybrpnk 2077-V-Female,Funko!,Invoiced DK,27.32644,24,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,24.0
47510,Funko! POP VINYL Cybrpnk 2077-V-Female,Funko!,Invoiced SE,27.32644,300,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,300.0
47510,Funko! POP VINYL Cybrpnk 2077-V-Female,Funko!,SalgsOrdre SE,27.32644,0,6,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
47510,Funko! POP VINYL Cybrpnk 2077-V-Female,Funko!,Stock,27.32644,384,378,378.0,378.0,378,378.0,378,378.0,378,378,378,378,378.0
47522,Funko! POP VINYL Cybrpnk 2077-J Slvrhnd (w/ Gun),Funko!,Invoiced DK,27.3264,12,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,12.0
47522,Funko! POP VINYL Cybrpnk 2077-J Slvrhnd (w/ Gun),Funko!,Invoiced SE,27.3264,300,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,300.0
47522,Funko! POP VINYL Cybrpnk 2077-J Slvrhnd (w/ Gun),Funko!,SalgsOrdre SE,27.3264,0,6,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
47522,Funko! POP VINYL Cybrpnk 2077-J Slvrhnd (w/ Gun),Funko!,Stock,27.3264,228,222,222.0,222.0,222,222.0,222,222.0,222,222,222,222,222.0
47598,Funko! POP VINYL SW- Classic Jawa,Funko!,Købsordre,27.32642,204,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,204.0
47598,Funko! POP VINYL SW- Classic Jawa,Funko!,SalgsOrdre DK,27.32642,0,204,36.0,0.0,0,0.0,0,0.0,0,0,0,0,240.0
47598,Funko! POP VINYL SW- Classic Jawa,Funko!,Stock,27.32642,408,204,168.0,168.0,168,168.0,168,168.0,168,168,168,168,168.0
47707,Funko! POP VINYL DC: Batman Returns - Catwoman,Funko!,SalgsOrdre SE,27.58267,0,0,0.0,30.0,0,0.0,0,0.0,0,0,0,0,30.0
47707,Funko! POP VINYL DC: Batman Returns - Catwoman,Funko!,Stock,27.58267,30,30,30.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0
47709,Funko! POP VINYL DC: Batman 1989 Joker w. hat,Funko!,Købsordre,29.21667,0,450,0.0,0.0,0,0.0,0,0.0,0,0,0,0,450.0
47709,Funko! POP VINYL DC: Batman 1989 Joker w. hat,Funko!,Stock,29.21667,0,450,450.0,450.0,450,450.0,450,450.0,450,450,450,450,450.0
47734,Funko! POP VINYL Tennis Legends Björn Borg,Funko!,Købsordre,35.12,0,180,0.0,0.0,0,0.0,0,0.0,0,0,0,0,180.0
47734,Funko! POP VINYL Tennis Legends Björn Borg,Funko!,Stock,35.12,0,180,180.0,180.0,180,180.0,180,180.0,180,180,180,180,180.0
47752,Funko! POP VINYL Movies: Hobbs & Shaw - Shaw,Funko!,Invoiced DK,27.32583,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
47752,Funko! POP VINYL Movies: Hobbs & Shaw - Shaw,Funko!,Stock,27.32583,12,12,12.0,12.0,12,12.0,12,12.0,12,12,12,12,12.0
47753,Funko! POP VINYL Movies: Hobbs & Shaw Hobbs,Funko!,Invoiced DK,27.32667,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
